seed_q	type
●●●を教えて。	What:Object/Subject
●の種類を教えて。（●、●等）	What:Type/Category
●●の紫外線カット率を教えて。	What:Feature/Characteristic
各●●の塗料について知りたい。耐●●、耐●●は使用していますか？	What:Feature/Characteristic
●●●と●●●の開口寸法を教えて。	What:Feature/Characteristic
●●●●に●●●の●●●●を貼ることができるか教えて。	How:Method/Process
ランプの種類、色を教えて。	What:Type/Category|What:Feature/Characteristic
●●の数値を教えて。	What:Feature/Characteristic
●●●、●●●、●●●の数値を教えて。	What:Feature/Characteristic
●●●開閉時、●●●が描く軌跡の上での最大の長さを教えて。	What:Feature/Characteristic
●●格納時・全開時、●全開時の最大幅を教えて。	What:Feature/Characteristic
●●●を含む高さ、●●●全開時の最大高さを教えて。	What:Feature/Characteristic
●●の測定位置を教えて。	Where:Location/Place
●●全開時の開口寸法を教えて。	What:Feature/Characteristic
●●●●を開けた時の地面から荷室の●●面までの高さを教えて。	What:Feature/Characteristic
車両の寸法は？（数値・数値・数値）	What:Feature/Characteristic
各シートの●量・●量、●●は高さが調節できるか教えて。	How:Method/Process
●●●のバルブの規格を教えて。	What:Feature/Characteristic
●●●での給電可能時間を教えて。	When:Duration/Frequency
●●はありますか？対応の形状とA数、●●●を教えて。	What:Feature/Characteristic
●●●（前後方）の録画機能について教えて。	What:Feature/Characteristic
●●（AC100V・1500W）の使用方法を教えて。（コンセントONの方法）	How:Method/Process
●●●（含 ●●●）の容量・寸法を教えて。	What:Feature/Characteristic
充電に必要な時間を教えて。	How:Duration/Frequency
1回の充電にかかる電気代を教えて。（●●●）	How:Means/Instrument
●●（●●●）●●で、駆動用●●●を満充電にするにはどれくらい時間かかりますか？	When:Duration/Frequency
●●●充電。出発の設定時刻より早く終了する事がありますが、充電●●を教えて。	How:Method/Process
●●●使用時の●●●●を教えて。	What:Method/Process
走行距離を伸ばすコツを教えて。	How:Method/Process
●モードと●モードはスイッチで選択できますか？切り替えた方がいいのはどんな時ですか？	What:Feature/Characteristic|Why:Purpose/Intent
時速何kmまで●●走行できますか？	What:Feature/Characteristic
●●●と●●●は、●●●内に収納できますか？	What:Feature/Characteristic
●●を開けたり、●●を盗難されたりしませんか？	What:Object/Subject
急速充電、●●に対応していない理由を教えて。	Why:Cause/Reason
●●●・太さ・重量、●●●の重量・寸法を教えて。	What:Feature/Characteristic
●●●（AC100V・1500W）の電力はどこから供給されますか？	Where:Location/Place
●●●の●●は、どんな時に点灯・消灯しますか？	How:Method/Process
充電するとき、●●●はできますか？	What:Feature/Characteristic
充電中、●●や●●などは使用していますか？	How:Means/Instrument
●●●は、使い切ってから充電した方がいいですか？	Why:Purpose/Intent
セルフ●●●モードで、駆動用電池を満充電にすることはできますか？	What:Feature/Characteristic
過充電を防止する制御はどこで行っていますか？他メーカーの●●●で普通充電した時も過充電防止機能は作動しますか？	Where:Location/Place|What:Feature/Characteristic
●●●の保証期間は。	What:Duration/Frequency
●●はどういうクルマですか？充電しないと走れないですか？	What:Type/Category|Why:Purpose/Intent
他メーカー用の●●●・既設の●●●等は使用可能ですか？	What:Feature/Characteristic
●●での充電はどこでできるか教えて。	Where:Location/Place
●●機能は、EVモード・HVモードのどちらにもありますか？	What:Feature/Characteristic
●●●●●●って何ですか？どんな時に使いますか？	What:Object/Subject|When:Duration/Frequency
日常的にセルフ（●）モードで充電をしても問題ないですか？	What:Object/Subject
満充電の状態で●●●に置いたままにしておくと、どの程度放電しますか？	How:Duration/Frequency
長期間、●●に乗らないときは、充電しておいた方がいいですか？	Why:Purpose/Intent
●●では充電できませんか？	What:Feature/Characteristic
●●●。満充電状態で●●●を繋げたままにした場合、電気は微量でも流れ続けますか？	What:Feature/Characteristic
充電をせずに乗り続けても問題ありませんか？（●●●にお住まいで自宅に充電設備が設置できない。）	What:Feature/Characteristic
100Vと200Vで駆動用電池の●●に差はありますか？	What:Feature/Characteristic
●●はどちらが優先されますか？	What:Feature/Characteristic
充電を始めてから満充電まで電流は一定ですか？	How:Method/Process
●●を使用してもいいですか？	How:Means/Instrument
●●はコンセントからぶら下がった状態で充電してもいいですか？	What:Method/Process
●●は、炎天下の●●に保管しておいても大丈夫ですか？	What:Feature/Characteristic
雨の日に●●してもいいですか？●●●●や●●●●は濡れてもいいですか？	What:Feature/Characteristic|What:Object/Subject
"●が抜けない、どうやったら抜けますか？
●の●●の仕組みを教えて。"	How:Method/Process|What:Feature/Characteristic
●●はどんな種類ですか？●●を教えて。	What:Type/Category
●●●●、W数、●●●を教えて。	What:Feature/Characteristic
●●●に対応している●●と再生可能なファイル●●●を教えて。	What:Feature/Characteristic
●●●はありますか？●●●や●●●等の音声・映像を再生できますか？	What:Object/Subject|How:Means/Instrument
●●●の装備を教えて。	What:Feature/Characteristic
●●の型式を教えて。	What:Type/Category
●●の意味を教えて。	What:Feature/Characteristic
●●充電で充電できる携帯電話、スマートフォンは？	What:Object/Subject
●●はどの●につけたらよいですか？	What:Object/Subject
●●●の●●●を教えて。	What:Object/Subject
●は、●●ですか？●●ですか？	What:Type/Category
